player_id,level_completed,time_spent,actions_taken,difficulty,last_level_attempts,average_level_time,last_level_cleared,score
1,7,111,quit,5,4,15.857142857142858,0,360
2,4,104,get_help,2,8,26.0,0,204
3,8,171,restart,3,7,21.375,0,406
4,5,133,quit,4,1,26.6,0,258
5,7,293,restart,3,5,41.857142857142854,0,356
6,10,127,level_up,5,7,12.7,1,510
7,3,106,play,1,4,35.333333333333336,0,152
8,7,92,get_help,3,1,13.142857142857142,0,356
9,8,287,restart,4,9,35.875,0,408
10,5,51,quit,2,5,10.2,0,254
11,4,29,restart,6,2,7.25,0,212
12,8,296,quit,1,8,37.0,0,402
13,8,297,restart,2,2,37.125,0,404
14,3,214,quit,3,3,71.33333333333333,0,156
15,6,267,level_up,5,10,44.5,0,310
16,5,257,quit,5,1,51.4,0,260
17,2,101,quit,4,2,50.5,0,108
18,8,110,play,5,7,13.75,0,410
19,6,182,quit,1,10,30.333333333333332,0,302
20,2,1,play,5,2,0.5,0,110
21,5,55,get_help,4,6,11.0,0,258
22,1,149,play,6,3,149.0,0,62
23,10,137,level_up,3,4,13.7,1,506
24,6,202,play,3,8,33.666666666666664,0,306
25,9,117,get_help,5,3,13.0,0,460
26,1,154,level_up,2,10,154.0,0,54
27,10,291,restart,3,6,29.1,1,506
28,3,63,restart,6,1,21.0,0,162
29,7,244,play,5,7,34.857142857142854,0,360
30,4,25,play,4,8,6.25,0,208
31,9,90,get_help,6,8,10.0,0,462
32,3,75,get_help,5,3,25.0,0,160
33,5,294,quit,6,10,58.8,0,262
34,3,210,get_help,3,1,70.0,0,156
35,7,17,quit,4,9,2.4285714285714284,0,358
36,5,128,level_up,5,6,25.6,0,260
37,9,251,play,1,9,27.88888888888889,0,452
38,7,179,level_up,4,7,25.571428571428573,0,358
39,2,182,get_help,1,1,91.0,0,102
40,4,152,level_up,6,1,38.0,0,212
41,9,25,level_up,2,6,2.7777777777777777,0,454
42,2,180,level_up,4,5,90.0,0,108
43,10,198,get_help,6,9,19.8,1,512
44,9,161,level_up,1,2,17.88888888888889,0,452
45,10,177,quit,3,8,17.7,1,506
46,5,285,get_help,3,5,57.0,0,256
47,2,63,level_up,2,2,31.5,0,104
