player_id,level_completed,time_spent,actions_taken,difficulty,last_level_attempts,average_level_time,last_level_cleared,score,Next_level,NLOD
1,7,111,quit,5,4,15.857142857142858,0,360,7,5
2,4,104,get_help,2,8,26.0,0,204,4,1
3,8,171,restart,3,7,21.375,0,406,8,2
4,5,133,quit,4,1,26.6,0,258,5,4
5,7,293,restart,3,5,41.85714285714285,0,356,7,3
6,10,127,level_up,5,7,12.7,1,510,11,6
7,3,106,play,1,4,35.333333333333336,0,152,3,1
8,7,92,get_help,3,1,13.142857142857142,0,356,7,3
9,8,287,restart,4,9,35.875,0,408,8,3
10,5,51,quit,2,5,10.2,0,254,5,2
11,4,29,restart,6,2,7.25,0,212,4,6
12,8,296,quit,1,8,37.0,0,402,8,1
13,8,297,restart,2,2,37.125,0,404,8,2
14,3,214,quit,3,3,71.33333333333333,0,156,3,3
15,6,267,level_up,5,10,44.5,0,310,6,4
16,5,257,quit,5,1,51.4,0,260,5,5
17,2,101,quit,4,2,50.5,0,108,2,4
18,8,110,play,5,7,13.75,0,410,8,4
19,6,182,quit,1,10,30.33333333333333,0,302,6,1
20,2,1,play,5,2,0.5,0,110,2,5
21,5,55,get_help,4,6,11.0,0,258,5,3
22,1,149,play,6,3,149.0,0,62,1,6
23,10,137,level_up,3,4,13.7,1,506,11,4
24,6,202,play,3,8,33.666666666666664,0,306,6,2
25,9,117,get_help,5,3,13.0,0,460,9,5
26,1,154,level_up,2,10,154.0,0,54,1,1
27,10,291,restart,3,6,29.1,1,506,11,4
28,3,63,restart,6,1,21.0,0,162,3,6
29,7,244,play,5,7,34.857142857142854,0,360,7,4
30,4,25,play,4,8,6.25,0,208,4,3
31,9,90,get_help,6,8,10.0,0,462,9,5
32,3,75,get_help,5,3,25.0,0,160,3,5
33,5,294,quit,6,10,58.8,0,262,5,5
34,3,210,get_help,3,1,70.0,0,156,3,3
35,7,17,quit,4,9,2.4285714285714284,0,358,7,3
36,5,128,level_up,5,6,25.6,0,260,5,4
37,9,251,play,1,9,27.88888888888889,0,452,9,1
38,7,179,level_up,4,7,25.571428571428573,0,358,7,3
39,2,182,get_help,1,1,91.0,0,102,2,1
40,4,152,level_up,6,1,38.0,0,212,4,6
41,9,25,level_up,2,6,2.7777777777777777,0,454,9,1
42,2,180,level_up,4,5,90.0,0,108,2,4
43,10,198,get_help,6,9,19.8,1,512,11,6
44,9,161,level_up,1,2,17.88888888888889,0,452,9,1
45,10,177,quit,3,8,17.7,1,506,11,4
46,5,285,get_help,3,5,57.0,0,256,5,3
47,2,63,level_up,2,2,31.5,0,104,2,2
48,4,150,get_help,4,10,37.5,0,208,4,3
49,7,154,restart,4,6,22.0,0,358,7,3
50,8,156,quit,4,10,19.5,0,408,8,3
51,3,49,level_up,6,8,16.333333333333332,0,162,3,5
52,1,84,restart,2,4,84.0,0,54,1,2
53,4,177,restart,4,2,44.25,0,208,4,4
54,2,148,get_help,6,5,74.0,0,112,2,6
55,8,118,restart,3,2,14.75,0,406,8,3
56,4,63,quit,1,2,15.75,0,202,4,1
57,2,189,quit,6,6,94.5,0,112,2,5
58,6,49,play,3,10,8.166666666666666,0,306,6,2
59,6,257,quit,3,9,42.833333333333336,0,306,6,2
60,10,224,restart,1,4,22.4,1,502,11,2
61,4,141,quit,3,6,35.25,0,206,4,2
62,6,215,get_help,2,7,35.833333333333336,0,304,6,1
63,2,211,play,1,6,105.5,0,102,2,1
64,10,32,restart,3,8,3.2,1,506,11,4
65,2,158,play,5,4,79.0,0,110,2,5
66,10,285,restart,6,1,28.5,1,512,11,6
67,4,286,get_help,3,7,71.5,0,206,4,2
68,8,144,play,2,3,18.0,0,404,8,2
69,7,19,level_up,4,6,2.7142857142857144,0,358,7,3
70,9,18,restart,3,2,2.0,0,456,9,3
71,8,257,level_up,4,9,32.125,0,408,8,3
72,5,78,play,5,1,15.6,0,260,5,5
73,2,175,level_up,3,6,87.5,0,106,2,2
74,5,194,level_up,1,6,38.8,0,252,5,1
75,8,113,play,4,5,14.125,0,408,8,4
76,10,114,get_help,5,5,11.4,1,510,11,6
77,9,222,level_up,1,1,24.666666666666668,0,452,9,1
78,9,166,level_up,1,10,18.444444444444443,0,452,9,1
79,1,132,get_help,1,5,132.0,0,52,1,1
80,9,264,level_up,1,2,29.33333333333333,0,452,9,1
81,7,55,level_up,3,7,7.857142857142857,0,356,7,2
82,9,131,level_up,6,3,14.555555555555555,0,462,9,6
83,8,288,quit,3,4,36.0,0,406,8,3
84,1,266,get_help,3,3,266.0,0,56,1,3
85,8,162,level_up,5,3,20.25,0,410,8,5
86,8,87,get_help,5,4,10.875,0,410,8,5
87,3,55,restart,6,5,18.33333333333333,0,162,3,6
88,1,288,restart,5,1,288.0,0,60,1,5
89,8,178,level_up,2,4,22.25,0,404,8,2
90,3,8,get_help,6,8,2.6666666666666665,0,162,3,5
91,3,247,get_help,5,10,82.33333333333333,0,160,3,4
92,1,255,get_help,6,7,255.0,0,62,1,5
93,5,54,quit,3,9,10.8,0,256,5,2
94,10,249,restart,3,5,24.9,1,506,11,4
95,7,239,get_help,6,10,34.142857142857146,0,362,7,5
96,10,229,get_help,2,4,22.9,1,504,11,3
97,9,67,quit,2,8,7.444444444444445,0,454,9,1
98,7,51,quit,6,9,7.285714285714286,0,362,7,5
99,9,97,get_help,5,7,10.77777777777778,0,460,9,4
100,8,92,play,4,7,11.5,0,408,8,3
101,2,264,get_help,2,5,132.0,0,104,2,2
102,1,291,get_help,1,4,291.0,0,52,1,1
103,7,96,quit,3,10,13.714285714285714,0,356,7,2
104,7,88,quit,6,1,12.571428571428571,0,362,7,6
105,8,78,get_help,1,10,9.75,0,402,8,1
106,5,288,get_help,6,10,57.6,0,262,5,5
107,3,120,get_help,3,7,40.0,0,156,3,2
108,8,165,quit,3,1,20.625,0,406,8,3
109,6,182,get_help,2,1,30.33333333333333,0,304,6,2
110,3,223,get_help,2,5,74.33333333333333,0,154,3,2
111,1,7,level_up,1,9,7.0,0,52,1,1
112,3,263,play,6,6,87.66666666666667,0,162,3,5
113,5,161,restart,3,3,32.2,0,256,5,3
114,3,151,play,1,3,50.333333333333336,0,152,3,1
115,1,85,level_up,4,7,85.0,0,58,1,3
116,5,147,restart,1,6,29.4,0,252,5,1
117,10,112,get_help,5,9,11.2,1,510,11,6
118,7,36,level_up,1,6,5.142857142857143,0,352,7,1
119,7,285,get_help,5,5,40.71428571428572,0,360,7,5
120,9,188,quit,5,10,20.88888888888889,0,460,9,4
121,10,82,level_up,5,7,8.2,1,510,11,6
122,10,2,quit,4,1,0.2,1,508,11,5
123,3,197,level_up,1,7,65.66666666666667,0,152,3,1
124,7,11,level_up,1,3,1.5714285714285714,0,352,7,1
125,1,234,quit,4,9,234.0,0,58,1,3
126,4,195,restart,3,6,48.75,0,206,4,2
127,4,119,play,2,9,29.75,0,204,4,1
128,5,20,get_help,1,5,4.0,0,252,5,1
129,7,261,level_up,2,7,37.285714285714285,0,354,7,1
130,7,293,get_help,6,4,41.85714285714285,0,362,7,6
131,4,256,quit,6,7,64.0,0,212,4,5
132,7,222,get_help,4,1,31.714285714285715,0,358,7,4
133,3,226,quit,6,7,75.33333333333333,0,162,3,5
134,6,53,get_help,6,8,8.833333333333334,0,312,6,5
135,2,280,play,3,5,140.0,0,106,2,3
136,10,81,play,3,2,8.1,1,506,11,4
137,9,202,play,3,5,22.444444444444443,0,456,9,3
138,5,158,play,6,6,31.6,0,262,5,5
139,6,120,play,4,2,20.0,0,308,6,4
140,4,59,play,5,6,14.75,0,210,4,4
141,10,215,quit,5,6,21.5,1,510,11,6
142,7,128,level_up,2,1,18.285714285714285,0,354,7,2
143,9,224,get_help,5,1,24.88888888888889,0,460,9,5
144,7,209,play,5,10,29.857142857142858,0,360,7,4
145,1,115,quit,3,3,115.0,0,56,1,3
146,1,209,quit,3,10,209.0,0,56,1,2
147,9,14,quit,6,10,1.5555555555555556,0,462,9,5
148,9,9,level_up,2,3,1.0,0,454,9,2
149,4,40,get_help,1,4,10.0,0,202,4,1
150,9,237,level_up,2,2,26.33333333333333,0,454,9,2
151,3,281,restart,2,9,93.66666666666669,0,154,3,1
152,7,201,quit,4,10,28.714285714285715,0,358,7,3
153,6,246,restart,6,7,41.0,0,312,6,5
154,8,278,play,4,7,34.75,0,408,8,3
155,9,235,play,2,6,26.11111111111111,0,454,9,1
156,5,4,level_up,2,3,0.8,0,254,5,2
157,1,154,get_help,2,6,154.0,0,54,1,1
158,3,29,restart,5,8,9.666666666666666,0,160,3,4
159,10,109,get_help,4,8,10.9,1,508,11,5
160,8,98,level_up,2,9,12.25,0,404,8,1
161,6,215,play,3,1,35.833333333333336,0,306,6,3
162,8,293,get_help,6,1,36.625,0,412,8,6
163,9,75,get_help,6,3,8.333333333333334,0,462,9,6
164,4,146,play,3,3,36.5,0,206,4,3
165,1,128,restart,6,10,128.0,0,62,1,5
166,1,42,play,5,8,42.0,0,60,1,4
167,10,41,get_help,5,10,4.1,1,510,11,6
168,4,34,restart,1,1,8.5,0,202,4,1
169,7,17,restart,1,2,2.4285714285714284,0,352,7,1
170,2,165,play,1,2,82.5,0,102,2,1
171,3,153,get_help,6,3,51.0,0,162,3,6
172,1,76,level_up,5,6,76.0,0,60,1,4
173,5,87,get_help,5,1,17.4,0,260,5,5
174,1,117,quit,5,2,117.0,0,60,1,5
175,8,27,level_up,3,1,3.375,0,406,8,3
176,1,287,restart,5,5,287.0,0,60,1,5
177,1,134,level_up,3,7,134.0,0,56,1,2
178,2,219,restart,1,8,109.5,0,102,2,1
179,2,168,restart,1,10,84.0,0,102,2,1
180,6,98,level_up,6,1,16.333333333333332,0,312,6,6
181,7,268,restart,1,7,38.285714285714285,0,352,7,1
182,5,237,restart,6,5,47.4,0,262,5,6
183,1,173,quit,2,10,173.0,0,54,1,1
184,1,190,get_help,2,1,190.0,0,54,1,2
185,3,122,get_help,4,3,40.66666666666666,0,158,3,4
186,2,46,quit,6,7,23.0,0,112,2,5
187,5,64,level_up,4,10,12.8,0,258,5,3
188,10,130,play,4,1,13.0,1,508,11,5
189,6,193,play,2,7,32.166666666666664,0,304,6,1
190,7,181,play,6,5,25.857142857142858,0,362,7,6
191,4,292,quit,2,1,73.0,0,204,4,2
192,7,282,quit,4,1,40.285714285714285,0,358,7,4
193,8,29,restart,6,1,3.625,0,412,8,6
194,1,149,play,4,9,149.0,0,58,1,3
195,6,267,level_up,5,3,44.5,0,310,6,5
196,8,296,level_up,6,5,37.0,0,412,8,6
197,5,11,play,6,10,2.2,0,262,5,5
198,4,164,play,4,9,41.0,0,208,4,3
199,2,113,play,5,6,56.5,0,110,2,4
200,6,187,quit,3,9,31.166666666666668,0,306,6,2
201,6,295,quit,2,8,49.16666666666666,0,304,6,1
202,1,232,quit,4,8,232.0,0,58,1,3
203,9,227,get_help,6,1,25.22222222222222,0,462,9,6
204,6,98,level_up,2,9,16.333333333333332,0,304,6,1
205,3,55,level_up,2,6,18.33333333333333,0,154,3,1
206,4,111,restart,2,9,27.75,0,204,4,1
207,4,152,quit,3,3,38.0,0,206,4,3
208,3,246,get_help,1,3,82.0,0,152,3,1
209,10,69,get_help,4,6,6.9,1,508,11,5
210,3,289,level_up,1,9,96.33333333333331,0,152,3,1
211,3,250,quit,1,7,83.33333333333333,0,152,3,1
212,4,36,restart,1,3,9.0,0,202,4,1
213,7,239,quit,2,3,34.142857142857146,0,354,7,2
214,4,148,play,5,2,37.0,0,210,4,5
215,9,227,quit,2,9,25.22222222222222,0,454,9,1
216,1,244,play,2,3,244.0,0,54,1,2
217,8,201,play,6,5,25.125,0,412,8,6
218,7,154,restart,6,9,22.0,0,362,7,5
219,2,73,level_up,1,8,36.5,0,102,2,1
220,8,201,quit,2,2,25.125,0,404,8,2
221,1,296,play,1,3,296.0,0,52,1,1
222,9,17,quit,6,2,1.8888888888888888,0,462,9,6
223,9,129,level_up,5,8,14.333333333333334,0,460,9,4
224,2,217,level_up,4,6,108.5,0,108,2,3
225,7,61,get_help,1,6,8.714285714285714,0,352,7,1
226,10,104,level_up,5,9,10.4,1,510,11,6
227,3,42,restart,4,8,14.0,0,158,3,3
228,7,25,play,3,4,3.571428571428572,0,356,7,3
229,10,39,get_help,1,4,3.9,1,502,11,2
230,9,291,restart,1,9,32.333333333333336,0,452,9,1
231,4,131,quit,3,1,32.75,0,206,4,3
232,1,229,play,3,2,229.0,0,56,1,3
233,2,108,level_up,1,2,54.0,0,102,2,1
234,1,172,play,3,6,172.0,0,56,1,2
235,5,102,quit,2,4,20.4,0,254,5,2
236,5,12,get_help,4,10,2.4,0,258,5,3
237,7,275,get_help,4,3,39.285714285714285,0,358,7,4
